Language,Name,Code
Afrikaans,Afrikaans,af
Albanian,Shqip,sq
Arabic,عربي,ar
Armenian,Հայերէն,hy
Azerbaijani,آذربایجان,دیلی
Basque,Euskara,eu
Belarusian,Беларуская,be
Bulgarian,Български,bg
Catalan,Català,ca
Chinese,(Simplified),中文简体
Chinese,(Traditional),中文繁體
Croatian,Hrvatski,hr
Czech,Čeština,cs
Danish,Dansk,da
Dutch,Nederlands,nl
English,English,en
Estonian,Eesti,keel
Filipino,Filipino,tl
Finnish,Suomi,fi
French,Français,fr
Galician,Galego,gl
Georgian,ქართული,ka
German,Deutsch,de
Greek,Ελληνικά,el
Haitian,Creole,Kreyòl
Hebrew,עברית,iw
Hindi,हिन्दी,hi
Hungarian,Magyar,hu
Icelandic,Íslenska,is
Indonesian,Bahasa,Indonesia
Irish,Gaeilge,ga
Italian,Italiano,it
Japanese,日本語,ja
Korean,한국어,ko
Latvian,Latviešu,lv
Lithuanian,Lietuvių,kalba
Macedonian,Македонски,mk
Malay,Malay,ms
Maltese,Malti,mt
Norwegian,Norsk,no
Persian,فارسی,fa
Polish,Polski,pl
Portuguese,Português,pt
Romanian,Română,ro
Russian,Русский,ru
Serbian,Српски,sr
Slovak,Slovenčina,sk
Slovenian,Slovensko,sl
Spanish,Español,es
Swahili,Kiswahili,sw
Swedish,Svenska,sv
Thai,ไทย,th
Turkish,Türkçe,tr
Ukrainian,Українська,uk
Urdu,اردو,ur
Vietnamese,Tiếng,Việt
Welsh,Cymraeg,cy
Yiddish,ייִדיש,yi
